category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
r (reproductive traits),are there sub-populations?,unknown,unknown,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, rocky reef, hard slope, hard shelf",coralreefsoftshelfsoftslopebeachrockyreefhardslopehardshelf,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, rocky reef, hard slope, hard shelf",coralreefsoftshelfsoftslopebeachrockyreefhardslopehardshelf,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
biophysical traits,biomineral,none,none,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Fanrays (Platyrhinidae - 5 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,1 to 5,1to5,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach",coralreefsoftshelfsoftslopebeach,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach",coralreefsoftshelfsoftslopebeach,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
biophysical traits,biomineral,none,none,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Panrays (Zanobatidae - 2 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,1 to 5,1to5,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
r (reproductive traits),can the sex ratio be altered by a stressor?,possibly,possibly,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, intertidal mud",coralreefsoftshelfsoftslopebeachintertidalmud,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"coral reef, soft shelf, soft slope, beach, intertidal mud",coralreefsoftshelfsoftslopebeachintertidalmud,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
biophysical traits,biomineral,none,none,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Numbfishes (Narcinidae - 30 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,4 to 6,4to6,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf, intertidal mud",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelfintertidalmud,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf, intertidal mud",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelfintertidalmud,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
biophysical traits,biomineral,none,none,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Sleeper Rays (Narkidae - 9 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,4 to 8,4to8,Hypnos monipterygius,elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Hypnos monipterygius,elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Hypnos monipterygius,elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Hypnos monipterygius,elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Hypnos monipterygius,elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Hypnos monipterygius,elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"soft slope, soft shelf, intertidal mud, beach",softslopesoftshelfintertidalmudbeach,Hypnos monipterygius,elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"soft slope, soft shelf, intertidal mud, beach",softslopesoftshelfintertidalmudbeach,Hypnos monipterygius,elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Hypnos monipterygius,elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - 999 mm,50999mm,Hypnos monipterygius,elasmobranchs,NA
biophysical traits,biomineral,none,none,Hypnos monipterygius,elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Hypnos monipterygius,elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Hypnos monipterygius,elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
r (reproductive traits),parental investment,live birth,livebirth,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"soft slope, soft shelf, intertidal mud, beach, coral reef, rocky reef",softslopesoftshelfintertidalmudbeachcoralreefrockyreef,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"soft slope, soft shelf, intertidal mud, beach, coral reef, rocky reef",softslopesoftshelfintertidalmudbeachcoralreefrockyreef,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - >1000 mm,50>1000mm,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
biophysical traits,biomineral,none,none,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Torpedo Rays (Torpedinidae - 18 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,55 - 158 eggs per year,55158eggsperyear,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
r (reproductive traits),max age,unknown,unknown,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - >1000 mm,50>1000mm,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
biophysical traits,biomineral,none,none,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,"Skates (Amblyraja, Beringraja, Breviraja, Dactylobatus, Dentiraja, Hongeo, Malacoraja, Neoraja, Okamejei, Orbiraja, Rostroraja, Spiniraja, Zearaja - 68 spp.)",elasmobranchs,NA
r (reproductive traits),fecundity,unknown,unknown,Dipturus spp. (38 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,2 to 10,2to10,Dipturus spp. (38 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,10 to 20 yrs,10to20yrs,Dipturus spp. (38 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Dipturus spp. (38 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Dipturus spp. (38 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,Dipturus spp. (38 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,Dipturus spp. (38 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Dipturus spp. (38 spp.),elasmobranchs,NA
biophysical traits,adult body mass/body size,50 - >1000 mm,50>1000mm,Dipturus spp. (38 spp.),elasmobranchs,NA
biophysical traits,biomineral,none,none,Dipturus spp. (38 spp.),elasmobranchs,NA
biophysical traits,"navigation requirements (sound or light, or magnetic)",unknown,unknown,Dipturus spp. (38 spp.),elasmobranchs,NA
biophysical traits,extreme pressure wave sensitive structures,unknown,unknown,Dipturus spp. (38 spp.),elasmobranchs,NA
r (reproductive traits),fecundity,10 to 50,10to50,Leucoraja spp. (13 spp.),elasmobranchs,NA
r (reproductive traits),lifetime # reproductive opportunities,unknown,unknown,Leucoraja spp. (13 spp.),elasmobranchs,NA
r (reproductive traits),age to 1st reproduction/generation time,10 yrs,10yrs,Leucoraja spp. (13 spp.),elasmobranchs,NA
r (reproductive traits),global population size,unknown,unknown,Leucoraja spp. (13 spp.),elasmobranchs,NA
r (reproductive traits),are there sub-populations?,unknown,unknown,Leucoraja spp. (13 spp.),elasmobranchs,NA
specialisation,within-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,Leucoraja spp. (13 spp.),elasmobranchs,NA
specialisation,across-stage dependent habitats + condition,"deep water, deep soft benthic, soft slope, hard slope, rocky intertidal, rocky reef, hard shelf, soft shelf",deepwaterdeepsoftbenthicsoftslopehardsloperockyintertidalrockyreefhardshelfsoftshelf,Leucoraja spp. (13 spp.),elasmobranchs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,unknown,unknown,Leucoraja spp. (13 spp.),elasmobranchs,NA
